País | Competição | Sofascore ID | ZeroZero ID | FotMob ID | Soccer-Rating ID
------------------------------------------------------------------------------------------------------------------------
Argentina | Liga Profesional | 155 | 70 | 112 | AR1
Bulgaria | Parva Liga | 247 | 77 | 270 | BG1
Europe | UEFA Champions League | 7 | 27 | 42 | CLCUP
Europe | UEFA Conference League | 17015 | 5932 | 10216 | ECLCUP
Europe | UEFA Europa League | 679 | 28 | 73 | ELCUP
Netherlands | Eerste Divisie | 131 | 215 | 111 | NL2
Portugal | Liga Portugal | 238 | 3 | 61 | PT1
Portugal | Liga Portugal 2 | 239 | 42 | 185 | PT2
Romania | SuperLiga | 152 | 81 | 189 | RO1
Russia | Premier League | 203 | 67 | 63 | RU1
Slovenia | PrvaLiga | 212 | 89 | 173 | SI1
Ukraine | Premier League | 218 | 68 | 441 | UA1
Austria | Bundesliga | 45 | 14 | 38 | AT1
Belgium | Pro League | 38 | 15 | 40 | BE1
Brazil | Brasileirao Serie A | 325 | 51 | 268 | BR1
Croatia | HNL | 170 | 78 | 252 | HR1
Czech Republic | Chance Liga | 49 | 22 | 122 | CZ1
Denmark | Superliga | 39 | 16 | 46 | DK1
England | Championship | 18 | 114 | 48 | UK2
England | Premier League | 17 | 4 | 47 | UK1
Finland | Veikkausliiga | 41 | 17 | 51 | FI1
France | Ligue 1 | 34 | 13 | 53 | FR1
France | Ligue 2 | 182 | 155 | 110 | FR2
Germany | 2. Bundesliga | 44 | 211 | 146 | DE2
Germany | Bundesliga | 35 | 11 | 54 | DE1
Greece | Super League | 185 | 63 | 135 | GR1
Hungary | NB I | 187 | 79 | 212 | HU1
Israel | Premier League | 59 | 118 | 127 | IL1
Italy | Serie A | 23 | 10 | 55 | IT1
Italy | Serie B | 53 | 95 | 86 | IT2
Netherlands | Eredivisie | 37 | 12 | 57 | NL1
Norway | Eliteserien | 20 | 21 | 59 | NO1
Poland | Ekstraklasa | 47 | 80 | 196 | PL1
Portugal | Liga 3 | 17101 | 5683 | 9112 | PT3
Scotland | Premiership | 36 | 18 | 64 | SC1
Serbia | SuperLiga | 210 | 90 | 182 | CS1
Slovakia | Niké Liga | 211 | 88 | 176 | SK1
Spain | LaLiga | 8 | 5 | 87 | ES1
Spain | LaLiga 2 | 54 | 113 | 140 | ES2
Sweden | Allsvenskan | 43 | 20 | 67 | SW1
Switzerland | Super League | 46 | 19 | 69 | CH1
Turkey | Super Lig | 52 | 24 | 71 | TU1
